Nombre Buque;Cód UE;Pareja;Cód UE Pareja;Puerto Venta;Puerto Base;Trimestre;Trimestre Desembarco;Año;Año construcción;TRB;GT;Potencia CV;Potencia KW;Eslora total;Eslora PP;Zona;Metier;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;Kg Desembarcados;Kg Desemb Peso Vivo;Precio por Kg;Precio Total
Berriz Ave Maria;ESP000025310;;;Getaria;Orio;4;4;2019;2002;148,17;206;850;;35,6;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;7244,4;7244,4;0,940306168;6811,954
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;1;1;2019;1996;148,42;192;613;;35,6;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;52619,7;52619,7;1,258426635;66218,032
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;2;2;2019;1996;148,42;192;613;;35,6;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;53259,2;53259,2;1,439689669;76676,72
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;1;1;2020;1996;148,42;192;613;;35,6;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;60;60;;
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;3;3;2020;1996;148,42;192;613;;35,6;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;55702,8;55702,8;0,615690199;34295,668
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;4;4;2020;1996;148,42;192;613;;35,6;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;799;799;1,21;966,79
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;4;4;2020;1996;148,42;192;613;;35,6;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;11425,4;11425,4;0,806814466;9218,178
Berriz Kukuarri (ex Gure Aita Joxe);ESP000025568;;;Hondarribia;Donostia;1;1;2019;2003;146,52;160;455;;32;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;11709,5;11709,5;1,186677484;13895,4
Berriz Matutina (ex San Francisco Berria);ESP000023394;;;Bermeo;Hondarribia;2;2;2019;1996;105,71;139;500;;30,85;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;698;698;1,6;1116,8
Berriz Matutina (ex San Francisco Berria);ESP000023394;;;Getaria;Hondarribia;2;2;2019;1996;105,71;139;500;;30,85;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;887,1;887,1;1,075572089;954,14
Berriz Matutina (ex San Francisco Berria);ESP000023394;;;Hondarribia;Hondarribia;1;1;2020;1996;105,71;139;500;;30,85;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;88437;88437;0,870179291;76956,046
Berriz Patxiku;ESP000025888;;;Getaria;Getaria;2;2;2019;2004;;287;1039,4;;30,4;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;77975;77975;2,019108817;157440,01
Berriz Patxiku;ESP000025888;;;Getaria;Getaria;3;3;2019;2004;;287;1039,4;;30,4;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;13663,2;13663,2;1,188925947;16244,533
Berriz Patxiku;ESP000025888;;;Getaria;Getaria;1;1;2020;2004;;287;1039,4;;30,4;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;179,6;179,6;2,39;429,244
Beti Aingeru;ESP000025321;;;Getaria;Orio;1;1;2019;2002;133;162;800;;33,28;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;9370;9370;2,001125293;18750,544
Beti Aingeru;ESP000025321;;;Getaria;Orio;2;2;2019;2002;133;162;800;;33,28;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;390,8;390,8;0,4;156,32
Beti Aingeru;ESP000025321;;;Getaria;Orio;2;2;2020;2002;133;162;800;;33,28;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;13866;13866;0,945857782;13115,264
