"IdVenta";"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.comercial.ALFA3";"Especie.muestreada";"Especie.muestreada.ALFA3";"Peso";"TripSamp"
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Potas Ommastrephidae nep";"Pota voladora";"SQM";"Pota voladora";"SQM";6,69527897;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Potas Ommastrephidae nep";"Potas Ommastrephidae nep";"OMZ";"Pota costera";"TDQ";71,30472103;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Rapes Lophius";"Rape blanco";"MON";"Rape blanco";"MON";37,92;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";160,590303727;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Cuco - Peona";"GUR";2,841666667;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Garneo";"GUN";1,593055556;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Perlon";"GUG";11,06527778;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Verdel - Caballa";"Verdel - Caballa";"MAC";"Verdel - Caballa";"MAC";60;1
530755;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";3792;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";172,15;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"GAD";"Faneca comun";"BIB";219,45;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Fanecas spp";"GAD";"Faneca comun";"BIB";231,55;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo boscii";"LDB";26,125733502;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo whiffiagonis";"MEG";1796,226266478;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Lenguado";"Lenguado";"SOL";"Lenguado";"SOL";1,40626551;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Lubina";"Lubina";"BSS";"Lubina";"BSS";41,140448521;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";222,1632;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Musola dentuda - musola estrellada";"Musola dentuda - musola estrellada";"SDS";"Musola";"SMD";78,38390437;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Musola dentuda - musola estrellada";"Musola dentuda - musola estrellada";"SDS";"Musola dentuda - musola estrellada";"SDS";750,768981;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Peon - pez plata";"Peon - pez plata";"ARY";"Peon - pez plata";"ARY";851,3;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Pez de San Pedro";"Pez de San Pedro";"JOD";"Pez de San Pedro";"JOD";79;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rapes Lophius";"Rape blanco";"MON";"Rape blanco";"MON";132,303380626;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";1078,538189136;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rayas spp";"Raya de clavos";"RJC";"Raya de clavos";"RJC";181,2;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rayas spp";"Raya santiaguesa";"RJN";"Raya santiaguesa";"RJN";2423,6;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Salmonete de roca";"Salmonete de roca";"MUR";"Salmonete de roca";"MUR";223,3;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Tollas - Musola spp";"Tollas - Musola spp";"TRK";"Musola";"SMD";232,6807146;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Bejel";"GUU";60,56825664;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Perlon";"GUG";29,3;1
530774;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Verdel - Caballa";"Verdel - Caballa";"MAC";"Verdel - Caballa";"MAC";402,5;1
530784;"LLS_DEF_0_0_0";"Pasaia";1;"Brotola de fango (Phycis blennoides)";"Brotola de fango (Phycis blennoides)";"GFB";"Brotola de fango (Phycis blennoides)";"GFB";2,471219512;1
530784;"LLS_DEF_0_0_0";"Pasaia";1;"Congrio";"Congrio";"COE";"Congrio";"COE";11,88;1
530784;"LLS_DEF_0_0_0";"Pasaia";1;"Desconocido";"Desconocido";"ZZZ";"Cabra (Helicolenus dactylopterus)";"BRF";0,84;1
530784;"LLS_DEF_0_0_0";"Pasaia";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";0,607560976;1
530784;"LLS_DEF_0_0_0";"Pasaia";1;"Lirio - Bacaladilla";"Lirio - Bacaladilla";"WHB";"Lirio - Bacaladilla";"WHB";4,201219512;1
530784;"LLS_DEF_0_0_0";"Pasaia";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";570,48;1
530799;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";8890;1
530800;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";10550;1
530801;"PS_SPF_0_0_0";"Pasaia";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";17740;1
530805;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";7508;1
530806;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";2583;1
530807;"GNS_DEF_>=100_0_0";"Bermeo";1;"Rapes Lophius";"Rape blanco";"MON";"Rape blanco";"MON";855,72;1
530807;"GNS_DEF_>=100_0_0";"Bermeo";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";27,88929545;1
