"Nombre_Buque","Puerto_Base","Censo","Trip","Fecha_Desembarco","Dia","Mes","Ano","Zona2","Metier","Peso","Metier_Rev","check"
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533791,2020-04-22,23,4,2020,"27.8.c","PTB_MPD_>=55_0_0",5607.0507,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534004,2020-04-26,27,4,2020,"27.8.c","PTB_MPD_>=55_0_0",8590.3718,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534097,2020-04-27,28,4,2020,"27.8.c","PTB_MPD_>=55_0_0",3156.51,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534209,2020-04-29,30,4,2020,"27.8.c","PTB_MPD_>=55_0_0",2522.7955,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534266,2020-05-03,4,5,2020,"27.8.c","PTB_MPD_>=55_0_0",6193.9729,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534356,2020-05-04,5,5,2020,"27.8.c","PTB_MPD_>=55_0_0",2735.222,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534362,2020-05-05,6,5,2020,"27.8.c","PTB_MPD_>=55_0_0",4719.3534,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534407,2020-05-06,7,5,2020,"27.8.c","PTB_MPD_>=55_0_0",3549.7585,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534544,2020-05-10,11,5,2020,"27.8.c","PTB_MPD_>=55_0_0",6831.5047,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534591,2020-05-11,12,5,2020,"27.8.c","PTB_MPD_>=55_0_0",3219,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534598,2020-05-12,13,5,2020,"27.8.c","PTB_MPD_>=55_0_0",3556.088,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534632,2020-05-13,14,5,2020,"27.8.c","PTB_MPD_>=55_0_0",4196.701,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534748,2020-05-17,18,5,2020,"27.8.c","PTB_MPD_>=55_0_0",10278.4559,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534794,2020-05-18,19,5,2020,"27.8.c","PTB_MPD_>=55_0_0",6021.605,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534798,2020-05-19,20,5,2020,"27.8.c","PTB_MPD_>=55_0_0",3139.059,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534852,2020-05-20,21,5,2020,"27.8.c","PTB_MPD_>=55_0_0",4095.395,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534930,2020-05-24,25,5,2020,"27.8.c","PTB_MPD_>=55_0_0",9349.7559,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",534974,2020-05-25,26,5,2020,"27.8.c","PTB_MPD_>=55_0_0",684.3829,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535000,2020-05-26,27,5,2020,"27.8.c","PTB_MPD_>=55_0_0",456.5,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535057,2020-05-27,28,5,2020,"27.8.c","PTB_MPD_>=55_0_0",1844.935,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535141,2020-05-31,1,6,2020,"27.8.c","PTB_MPD_>=55_0_0",6582.6275,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535183,2020-06-01,2,6,2020,"27.8.c","PTB_MPD_>=55_0_0",2519.9237,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535219,2020-06-02,3,6,2020,"27.8.c","PTB_MPD_>=55_0_0",2429.1124,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535228,2020-06-03,4,6,2020,"27.8.c","PTB_MPD_>=55_0_0",1487.45,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535349,2020-06-07,8,6,2020,"27.8.c","PTB_MPD_>=55_0_0",4427.101,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535363,2020-06-08,9,6,2020,"27.8.c","PTB_MPD_>=55_0_0",1607.296,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535378,2020-06-09,10,6,2020,"27.8.c","PTB_MPD_>=55_0_0",1143.176,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535420,2020-06-10,11,6,2020,"27.8.c","PTB_MPD_>=55_0_0",3300.2709,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535477,2020-06-14,15,6,2020,"27.8.c","PTB_MPD_>=55_0_0",5649.4693,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535499,2020-06-15,16,6,2020,"27.8.c","PTB_MPD_>=55_0_0",1916.9287,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535532,2020-06-16,17,6,2020,"27.8.c","PTB_MPD_>=55_0_0",2130.1494,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535582,2020-06-17,18,6,2020,"27.8.c","PTB_MPD_>=55_0_0",2027.839,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535651,2020-06-21,22,6,2020,"27.8.c","PTB_MPD_>=55_0_0",5494.6391,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535712,2020-06-22,23,6,2020,"27.8.c","PTB_MPD_>=55_0_0",2571.8703,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535737,2020-06-23,24,6,2020,"27.8.c","PTB_MPD_>=55_0_0",2852.0122,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535786,2020-06-24,25,6,2020,"27.8.c","PTB_MPD_>=55_0_0",1993.8647,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535850,2020-06-28,29,6,2020,"27.8.c","PTB_MPD_>=55_0_0",4847.3784,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535930,2020-06-29,30,6,2020,"27.8.c","PTB_MPD_>=55_0_0",1689.345,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",535965,2020-06-30,1,7,2020,"27.8.c","PTB_MPD_>=55_0_0",1497.6476,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",536016,2020-07-01,2,7,2020,"27.8.c","PTB_MPD_>=55_0_0",2172.2394,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537336,2020-08-23,24,8,2020,"27.8.c","PTB_MPD_>=55_0_0",9623.128,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537413,2020-08-25,26,8,2020,"27.8.c","PTB_MPD_>=55_0_0",1790.511,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537456,2020-08-26,27,8,2020,"27.8.c","PTB_MPD_>=55_0_0",1023.6872,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537506,2020-08-30,31,8,2020,"27.8.c","PTB_MPD_>=55_0_0",3054.2224,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537574,2020-09-01,2,9,2020,"27.8.c","PTB_MPD_>=55_0_0",2238.204,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537581,2020-09-02,3,9,2020,"27.8.c","PTB_MPD_>=55_0_0",755.6806,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537652,2020-09-06,7,9,2020,"27.8.c","PTB_MPD_>=55_0_0",1948.9053,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537666,2020-09-07,8,9,2020,"27.8.c","PTB_MPD_>=55_0_0",1692.056,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537708,2020-09-08,9,9,2020,"27.8.c","PTB_MPD_>=55_0_0",944.5497,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537746,2020-09-09,10,9,2020,"27.8.c","PTB_MPD_>=55_0_0",654.16,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537813,2020-09-13,14,9,2020,"27.8.c","PTB_MPD_>=55_0_0",4350.9002,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",537907,2020-09-16,16,9,2020,"27.8.c","PTB_MPD_>=55_0_0",11172.973,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538005,2020-09-20,21,9,2020,"27.8.c","PTB_MPD_>=55_0_0",4112.022,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538083,2020-09-22,23,9,2020,"27.8.c","PTB_MPD_>=55_0_0",7030.3904,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538125,2020-09-23,24,9,2020,"27.8.c","PTB_MPD_>=55_0_0",1184.59,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538145,2020-09-27,28,9,2020,"27.8.c","PTB_MPD_>=55_0_0",3666.98,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538234,2020-09-30,30,9,2020,"27.8.c","PTB_MPD_>=55_0_0",10622.4454,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538304,2020-09-30,1,10,2020,"27.8.c","PTB_MPD_>=55_0_0",2011.4985,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538371,2020-10-01,5,10,2020,"27.8.c","PTB_MPD_>=55_0_0",418.901,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538431,2020-10-06,7,10,2020,"27.8.c","PTB_MPD_>=55_0_0",1809.2712,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538471,2020-10-08,8,10,2020,"27.8.c","PTB_MPD_>=55_0_0",1862.589,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538547,2020-10-08,9,10,2020,"27.8.c","PTB_MPD_>=55_0_0",1541.547,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538553,2020-10-11,12,10,2020,"27.8.c","PTB_MPD_>=55_0_0",7824.8202,"PTB_MPD_>=55_0_0",TRUE
