"IdBuque","fcCambio","Nombre","CodigoCFR","EsloraTotal","EsloraPP","ArqueoGT","FechaCambioDatosTecnicos","FechaCambioDatosMotor","PotenciaPropulsionTotalKW","FcCambioIdentificacion","PuertoBase","AL5_PuertoBase","ProvinciaPuertoBase","CensoPorModalidad","FcEfectoInicial","fcCambio2"
73487101,2019-04-23,"PABLO LUIS","ESP000058736",6.5,NA,1.5,2010-10-20,2010-10-20,29.41995,2019-04-23,"Bañugues","ESBNU","PRINCIPADO DE ASTURIAS","ARTES MENORES EN CANTABRICO NW",2010-10-20,2019-04-23
73489165,2010-10-20,"O KEL","ESP000027400",8,NA,2.11,2010-10-20,2010-10-20,8.82598,2010-10-20,"Rianjo","ESRIA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-10-20,2010-10-20
73605305,2010-10-26,"NOVO MAR JOPO","ESP000027403",8.85,7.08,2.99,2010-10-26,2010-10-26,32.36194,2010-10-26,"Santa Eugenia de Riveira","ESSNI","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-10-26,2010-10-26
73628817,2010-10-28,"ORIA CORTES","ESP000058741",6.16,NA,1.79,2010-10-28,2010-10-28,14.70997,2010-10-28,"Lepe","ESLEP","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2010-10-28,2010-10-28
73633252,2010-10-28,"GALBAN","ESP000027404",9.5,8,5.32,2010-10-28,2010-10-28,22.80046,2010-10-28,"Rianjo","ESRIA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-10-28,2010-10-28
73721285,2010-11-05,"PEQUENO PRIMO","ESP000027405",9.4,7.52,4.4,2010-11-05,2010-11-05,25.00695,2010-11-05,"Rianjo","ESRIA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-11-05,2010-11-05
73781104,2018-10-29,"ADRI Y CRIS","ESP000027406",8.5,7.35,2.83,2010-11-10,2010-11-10,18.38746,2018-10-29,"Cambados","ESCBD","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2010-11-10,2018-10-29
73792161,2010-11-11,"MARI LLAMBRICH","ESP000027407",10.7,NA,4.62,2010-11-11,2010-11-11,35.29658,2010-11-11,"La Ametlla De Mar","ESKLL","TARRAGONA","ARTES MENORES EN EL MEDITERRANEO",2010-11-11,2010-11-11
73831728,2015-04-29,"AVI FAUSTO","ESP000027408",8.28,NA,2.37,2010-11-16,2010-11-16,33.09744,2015-04-29,"San Feliu De Guixols","ESSFU","GERONA","ARTES MENORES EN EL MEDITERRANEO",2010-11-16,2015-04-29
73981622,2011-09-20,"SALVORA UN","ESP000027409",7.35,NA,2.35,2010-11-29,2010-11-29,17.65197,2011-09-20,"Cedeira","ESCED","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-11-29,2011-09-20
73982011,2010-11-29,"AMANCIO","ESP000058747",6.16,NA,1.79,2010-11-29,2010-11-29,9.92923,2010-11-29,"Lepe","ESLEP","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2010-11-29,2010-11-29
73982972,2010-11-29,"FUXA OS VENTOS","ESP000058748",7.21,6.57,2.11,2010-11-29,2010-11-29,18.38746,2010-11-29,"La Coruña","ESLCG","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-11-29,2010-11-29
73985559,2017-06-20,"CARMAN","ESP000027410",6.37,5.1,1.98,2010-11-30,2010-11-30,29.41995,2017-06-20,"Santa Eugenia de Riveira","ESSNI","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-11-30,2017-06-20
74021738,2016-07-19,"XANDRE","ESP000027411",7.28,NA,2.26,2010-12-03,2010-12-03,13.23897,2016-07-19,"Cariño","ESCNO","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-12-03,2016-07-19
74032193,2010-12-03,"PRIMERA","ESP000027412",7.1,5.68,2.64,2010-12-03,2010-12-03,22.06496,2010-12-03,"Ayamonte","ESAYA","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2010-12-03,2010-12-03
74040545,2011-02-08,"O MEIXON","ESP000058750",6.73,NA,2.09,2010-12-07,2010-12-07,11.03248,2011-02-08,"Cedeira","ESCED","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2010-12-07,2011-02-08
74131510,2010-12-16,"ANXO VICTORIA","ESP000027413",9.5,7.6,4.98,2010-12-16,2010-12-16,73.54987,2010-12-16,"Marin","ESMPG","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2010-12-16,2010-12-16
